BJD - 2454833, Corrected Flux
2312.761100253, 0.813490836,
2312.781532335, 0.815731864,
2312.801964317, 0.816570268,
2312.822396499, 0.817437482,
2312.842828580, 0.817418259,
2312.863260661, 0.817834035,
2312.883692741, 0.818451760,
2312.904124821, 0.819667782,
2312.924557000, 0.821309708,
2312.944988979, 0.821821789,
2312.965421058, 0.820599998,
2312.985853235, 0.818937863,
2313.006285313, 0.816552851,
2313.026717290, 0.815696814,
2313.047149467, 0.813588520,
2313.067581544, 0.814929218,
2313.088013519, 0.815538792,
2313.108445695, 0.815539902,
2313.128877770, 0.813539612,
2313.149309745, 0.813524692,
2313.190173993, 0.795258347,
2313.210605966, 0.789941400,
2313.231038139, 0.801366407,
2313.251470211, 0.806829782,
2313.271902283, 0.807449621,
2313.292334355, 0.806986892,
2313.312766426, 0.807011219,
2313.333198497, 0.807531044,
2313.353630567, 0.808602139,
2313.374062638, 0.806392414,
2313.394494607, 0.807740130,
2313.435358845, 0.814864194,
2313.455790913, 0.816737315,
2313.476222981, 0.816708285,
2313.496655048, 0.815793455,
2313.517087215, 0.814446791,
2313.537519182, 0.814557220,
2313.557951248, 0.814093391,
2313.578383414, 0.813546919,
2313.598815379, 0.814241074,
2313.619247444, 0.815520844,
2313.639679608, 0.817731576,
2313.660111572, 0.816603983,
2313.680543636, 0.817366370,
2313.700975799, 0.818503551,
2313.721407762, 0.819888193,
2313.741839824, 0.820825436,
2313.762271986, 0.821608272,
2313.782703947, 0.822341523,
2313.803136008, 0.821429613,
2313.823568169, 0.820311710,
2313.844000229, 0.822244331,
2313.864432189, 0.822629502,
2313.884864349, 0.821422087,
2313.905296407, 0.816491692,
2313.925728466, 0.816261307,
2313.946160524, 0.815204007,
2313.966592582, 0.818183667,
2313.987024639, 0.819267779,
2314.007456696, 0.817813464,
2314.027888752, 0.816418878,
2314.048320808, 0.816077966,
2314.068752864, 0.813714848,
2314.089184919, 0.809357754,
2314.109616974, 0.795469960,
2314.130049028, 0.801578269,
2314.170913135, 0.809140216,
2314.191345188, 0.809489065,
2314.211777241, 0.809626063,
2314.232209294, 0.811451518,
2314.252641345, 0.811247953,
2314.273073397, 0.808834525,
2314.293505448, 0.812432512,
2314.313937498, 0.811449005,
2314.334369548, 0.809600233,
2314.354801698, 0.810055807,
2314.375233647, 0.809879887,
2314.416097845, 0.818276259,
2314.436529793, 0.817697697,
2314.456961941, 0.817103765,
2314.477393988, 0.817569183,
2314.497825935, 0.816874028,
2314.518258081, 0.817458360,
2314.538690127, 0.818115439,
2314.559122073, 0.818326991,
2314.579554218, 0.817999742,
2314.599986263, 0.819865994,
2314.620418207, 0.820338604,
2314.640850351, 0.820747117,
2314.661282395, 0.821079057,
2314.681714438, 0.820265249,
2314.702146481, 0.820693767,
2314.722578523, 0.821744204,
2314.743010565, 0.823208615,
2314.763442606, 0.822420350,
2314.783874647, 0.822686131,
2314.804306688, 0.821395047,
2314.824738728, 0.818911185,
2314.845170768, 0.817565169,
2314.865602707, 0.813359632,
2314.906466885, 0.817051047,
2314.926899023, 0.816001527,
2314.947330961, 0.815788092,
2314.967762998, 0.815352285,
2314.988195135, 0.813746201,
2315.008627072, 0.803369884,
2315.029059108, 0.792854140,
2315.049491244, 0.799712998,
2315.069923179, 0.810586348,
2315.090355214, 0.810376032,
2315.110787348, 0.811318950,
2315.131219282, 0.810459508,
2315.151651316, 0.811433267,
2315.172083449, 0.812225692,
2315.192515482, 0.812607696,
2315.212947414, 0.812209324,
2315.233379547, 0.811266260,
2315.253811578, 0.811246509,
2315.274243509, 0.811988660,
2315.294675641, 0.813182381,
2315.315107671, 0.813256680,
2315.335539601, 0.812001958,
2315.355971730, 0.811781956,
2315.396835889, 0.819619494,
2315.417267817, 0.818697957,
2315.437699845, 0.818420003,
2315.458131972, 0.817973268,
2315.478563899, 0.819750423,
2315.498995926, 0.821384437,
2315.519427952, 0.823492223,
2315.539859979, 0.823154297,
2315.560292004, 0.824010426,
2315.580724029, 0.824828062,
2315.601156054, 0.826117338,
2315.621588079, 0.826426097,
2315.642020102, 0.826041230,
2315.662452126, 0.825300856,
2315.682884149, 0.825109519,
2315.703316272, 0.822510632,
2315.723748194, 0.819892311,
2315.744180216, 0.819259632,
2315.764612337, 0.818480562,
2315.785044259, 0.813409736,
2315.805476279, 0.812028367,
2315.825908400, 0.814572259,
2315.846340320, 0.816124165,
2315.887204458, 0.814676558,
2315.907636377, 0.811992409,
2315.928068495, 0.798126173,
2315.948500513, 0.795127253,
2315.968932430, 0.808663800,
2315.989364548, 0.815920777,
2316.009796564, 0.814565725,
2316.030228581, 0.814282660,
2316.071092612, 0.816478249,
2316.091524627, 0.817064728,
2316.111956642, 0.817711672,
2316.132388657, 0.818135949,
2316.152820670, 0.817933768,
2316.173252784, 0.818084301,
2316.193684697, 0.819619227,
2316.214116710, 0.819894003,
2316.234548722, 0.819391716,
2316.254980734, 0.818719629,
2316.275412645, 0.819173916,
2316.295844757, 0.818913479,
2316.316276767, 0.818872046,
2316.336708877, 0.819594645,
2316.377572797, 0.821677077,
2316.398004906, 0.822204251,
2316.418436815, 0.824737942,
2316.438868824, 0.826359153,
2316.459300931, 0.827025363,
2316.479732839, 0.827518687,
2316.500164846, 0.828033200,
2316.520596953, 0.827998013,
2316.541028959, 0.828704940,
2316.561460865, 0.829312135,
2316.581892971, 0.828983785,
2316.602324976, 0.828387451,
2316.622756881, 0.826993375,
2316.643188985, 0.823950216,
2316.663620989, 0.824406628,
2316.684052893, 0.822951493,
2316.704484996, 0.822954252,
2316.724916999, 0.822597079,
2316.745348901, 0.821215559,
2316.765781003, 0.819920695,
2316.786213005, 0.819042991,
2316.806645106, 0.816982068,
2316.827077007, 0.811710768,
2316.867941108, 0.794325143,
2316.949669004, 0.813261096,
2316.970101002, 0.816603531,
2316.990533100, 0.817665255,
2317.010964997, 0.818425409,
2317.031396994, 0.820033536,
2317.051828991, 0.821382902,
2317.072260987, 0.820705715,
2317.092692983, 0.819858354,
2317.113125079, 0.819518046,
2317.133556973, 0.822247205,
2317.153988968, 0.823181349,
2317.174421062, 0.824019125,
2317.194852956, 0.823436390,
2317.215285050, 0.823051120,
2317.235717043, 0.823180392,
2317.256148936, 0.823909262,
2317.276581028, 0.821894385,
2317.297013020, 0.822279809,
2317.317444911, 0.824541702,
2317.358308993, 0.822288977,
2317.378740983, 0.823102995,
2317.399172974, 0.823061193,
2317.419604963, 0.824118318,
2317.440036952, 0.827148056,
2317.460468941, 0.829348800,
2317.480900929, 0.829809488,
2317.501332918, 0.829401003,
2317.521764905, 0.829394306,
2317.542196892, 0.827799032,
2317.562628879, 0.825749937,
2317.583060966, 0.826745174,
2317.603492852, 0.825205392,
2317.623924838, 0.823178276,
2317.644356923, 0.821496768,
2317.664788808, 0.819283143,
2317.685220893, 0.817606205,
2317.705652877, 0.817514451,
2317.726084761, 0.817276261,
2317.746516844, 0.806266389,
2317.766948728, 0.795862447,
2317.787380710, 0.808561932,
2317.807812792, 0.821030550,
2317.848676656, 0.815906595,
2317.869108737, 0.819904780,
2317.889540618, 0.819836876,
2317.909972598, 0.821088881,
2317.930404678, 0.821495877,
2317.950836658, 0.821155152,
2317.971268537, 0.820477199,
2317.991700616, 0.820668072,
2318.012132595, 0.821355510,
2318.032564473, 0.821367251,
2318.052996550, 0.821027601,
2318.093860405, 0.822941534,
2318.114292481, 0.824067821,
2318.134724458, 0.823318397,
2318.155156533, 0.823057063,
2318.175588409, 0.826708107,
2318.196020384, 0.826166137,
2318.216452458, 0.825183700,
2318.236884333, 0.826251946,
2318.257316307, 0.826235995,
2318.277748380, 0.828011156,
2318.298180253, 0.829213210,
2318.359476171, 0.831545952,
2318.379908143, 0.830832820,
2318.400340214, 0.831181498,
2318.420772185, 0.830780272,
2318.441204056, 0.829973190,
2318.461636125, 0.829163034,
2318.482067995, 0.828660361,
2318.502499965, 0.826092864,
2318.522932034, 0.823004053,
2318.584227939, 0.821419517,
2318.604659806, 0.821455025,
2318.625091873, 0.820186960,
2318.645523840, 0.817365901,
2318.665955707, 0.801523891,
2318.686387773, 0.799625922,
2318.706819739, 0.815925674,
